#,Constituency,Assembly Segment,UDF,LDF,NDA,Lead,Runner-up,Margin
1,Kasaragod,Manjeshwaram,68217,32796,57104,UDF,NDA,11113
2,Kasaragod,Kasaragod,69790,28567,46630,UDF,NDA,23160
3,Kasaragod,Udma,72324,63387,23786,UDF,LDF,8937
4,Kasaragod,Kanhangad,72570,74791,20046,LDF,UDF,2221
5,Kasaragod,Thrikaripur,74504,76403,8652,LDF,UDF,1899
6,Kasaragod,Payyanur,56730,82861,9268,LDF,UDF,26131
7,Kasaragod,Kalliasseri,59848,73542,9854,LDF,UDF,13694
8,Kannur,Taliparamba,81444,80719,8659,UDF,LDF,725
9,Kannur,Irikkur,90221,52901,7289,UDF,LDF,37320
10,Kannur,Azhikode,73075,51218,11728,UDF,LDF,21857
11,Kannur,Kannur,70683,47260,9740,UDF,LDF,23423
12,Kannur,Dharmadom,70631,74730,8538,LDF,UDF,4099
13,Kannur,Mattanur,67092,74580,11612,LDF,UDF,7488
14,Kannur,Peravoor,74539,50874,10054,UDF,LDF,23665
15,Vatakara,Thalassery,53932,65401,13456,LDF,UDF,11469
16,Vatakara,Kuthuparamba,68492,64359,15303,UDF,LDF,4133
17,Vatakara,Vatakara,71162,48199,9469,UDF,LDF,22963
18,Vatakara,Kuttiadi,83628,65736,7851,UDF,LDF,17892
19,Vatakara,Nadapuram,87061,69465,8408,UDF,LDF,17596
20,Vatakara,Koyilandy,79800,58755,16588,UDF,LDF,21045
21,Vatakara,Perambra,80929,67725,8505,UDF,LDF,13204
22,Wayanad,Mananthavady,93237,38606,13916,UDF,LDF,54631
23,Wayanad,Sulthan Bathery,110697,40232,17602,UDF,LDF,70465
24,Wayanad,Kalpetta,101229,37475,14122,UDF,LDF,63754
25,Wayanad,Thiruvambady,91152,36681,7767,UDF,LDF,54471
26,Wayanad,Eranad,92909,36382,6133,UDF,LDF,56527
27,Wayanad,Nilambur,103862,42202,10749,UDF,LDF,61660
28,Wayanad,Wandoor,111948,42393,8301,UDF,LDF,69555
29,Kozhikode,Balussery,83059,73314,18836,UDF,LDF,9745
30,Kozhikode,Elathur,67280,67177,24649,UDF,LDF,103
31,Kozhikode,Kozhikode North,54246,49688,28665,UDF,LDF,4558
32,Kozhikode,Kozhikode South,54608,40877,20173,UDF,LDF,13731
33,Kozhikode,Beypore,69402,58979,25697,UDF,LDF,10423
34,Kozhikode,Kunnamangalam,81551,70259,30650,UDF,LDF,11292
35,Kozhikode,Koduvally,81689,45781,11682,UDF,LDF,35908
36,Malappuram,Kondotty,87561,48248,13832,UDF,LDF,39313
37,Malappuram,Manjeri,85579,49531,11595,UDF,LDF,36048
38,Malappuram,Perinthalmanna,79867,56829,9851,UDF,LDF,23038
39,Malappuram,Mankada,85193,49928,10160,UDF,LDF,35265
40,Malappuram,Malappuram,94704,49728,7343,UDF,LDF,44976
41,Malappuram,Vengara,82388,30500,7504,UDF,LDF,51888
42,Malappuram,Vallikunnu,73861,44339,21802,UDF,LDF,29522
43,Ponnani,Tirurangadi,85428,38444,10663,UDF,LDF,46984
44,Ponnani,Tanur,75210,43044,14791,UDF,LDF,32166
45,Ponnani,Tirur,90734,49349,11365,UDF,LDF,41385
46,Ponnani,Kottakkal,87795,45596,13506,UDF,LDF,42199
47,Ponnani,Thavanur,62481,50128,20769,UDF,LDF,12353
48,Ponnani,Ponnani,61294,51555,17498,UDF,LDF,9739
49,Ponnani,Thrithala,58496,50092,21838,UDF,LDF,8404
50,Palakkad,Pattambi,67644,50465,20716,UDF,LDF,17179
51,Palakkad,Shornur,49810,60902,32308,LDF,UDF,11092
52,Palakkad,Ottapalam,54386,60846,35683,LDF,UDF,6460
53,Palakkad,Kongad,52456,52812,29104,LDF,UDF,356
54,Palakkad,Mannarkkad,78250,48625,18560,UDF,LDF,29625
55,Palakkad,Malampuzha,47743,69037,41413,LDF,UDF,21294
56,Palakkad,Palakkad,48425,44086,39963,UDF,LDF,4339
57,Alathur,Tarur,72441,47602,8601,UDF,LDF,24839
58,Alathur,Chittur,79423,55956,9885,UDF,LDF,23467
59,Alathur,Nenmara,82539,52318,12345,UDF,LDF,30221
60,Alathur,Alathur,73120,50407,6959,UDF,LDF,22713
61,Alathur,Chelakkara,76034,52339,17133,UDF,LDF,23695
62,Alathur,Kunnamkulam,69908,55586,17228,UDF,LDF,14322
63,Alathur,Wadakkanchery,79028,59488,17424,UDF,LDF,19540
64,Thrissur,Guruvayur,65160,44695,33967,UDF,LDF,20465
65,Thrissur,Manalur,63420,50482,44765,UDF,LDF,12938
66,Thrissur,Ollur,63406,47372,39594,UDF,LDF,16034
67,Thrissur,Thrissur,55668,31110,37641,UDF,NDA,18027
68,Thrissur,Nattika,52558,50131,48171,UDF,LDF,2427
69,Thrissur,Irinjalakuda,57481,46091,42857,UDF,LDF,11390
70,Thrissur,Puthukkad,56848,51006,46410,UDF,LDF,5842
71,Chalakudy,Kaipamangalam,51212,51154,24420,UDF,LDF,58
72,Chalakudy,Chalakudy,69536,48827,23433,UDF,LDF,20709
73,Chalakudy,Kodungallur,61085,49355,29732,UDF,LDF,11730
74,Chalakudy,Perumbavoor,69526,46903,22954,UDF,LDF,22623
75,Chalakudy,Angamaly,72496,44696,13863,UDF,LDF,27800
76,Chalakudy,Aluva,76318,44215,21951,UDF,LDF,32103
77,Chalakudy,Kunnathunad,72762,55431,17581,UDF,LDF,17331
78,Ernakulam,Kalamassery,73745,53056,21026,UDF,LDF,20689
79,Ernakulam,Paravur,71025,56940,23035,UDF,LDF,14085
80,Ernakulam,Vypen,68047,44806,14940,UDF,LDF,23241
81,Ernakulam,Kochi,71270,41957,14747,UDF,LDF,29313
82,Ernakulam,Thripunithura,71631,52404,25304,UDF,LDF,19227
83,Ernakulam,Ernakulam,61920,30742,17769,UDF,LDF,31178
84,Ernakulam,Thrikkakara,73216,41439,20710,UDF,LDF,31777
85,Idukki,Muvattupuzha,78799,46260,12867,UDF,LDF,32539
86,Idukki,Kothamangalam,67942,47346,12092,UDF,LDF,20596
87,Idukki,Devikulam,66748,42712,7498,UDF,LDF,24036
88,Idukki,Udumbanchola,63550,51056,10863,UDF,LDF,12494
89,Idukki,Thodupuzha,79342,42319,15223,UDF,LDF,37023
90,Idukki,Idukki,71218,50290,10891,UDF,LDF,20928
91,Idukki,Peerumade,70098,46718,9070,UDF,LDF,23380
92,Kottayam,Piravom,66192,57088,22772,UDF,LDF,9104
93,Kottayam,Pala,66971,33499,26533,UDF,LDF,33472
94,Kottayam,Kaduthuruthy,65877,39170,20895,UDF,LDF,26707
95,Kottayam,Vaikom,47256,56476,21871,LDF,UDF,9220
96,Kottayam,Ettumanoor,55356,46911,20112,UDF,LDF,8445
97,Kottayam,Kottayam,54831,40864,21564,UDF,LDF,13967
98,Kottayam,Puthuppally,63811,39484,20911,UDF,LDF,24327
