#,Constituency,Turnout%,Elected Member,Party,Margin
1,Kasaragod,78.41,P Karunakaran,Communist Party of India (Marxist),6921
2,Kannur,81.06,P K Sreemathi Teacher,Communist Party of India (Marxist),6566
3,Vatakara,81.21,Mullappally Ramachandran,Indian National Congress,3306
4,Wayanad,73.25,M I Shanavas,Indian National Congress,20870
5,Kozhikode,79.77,M.K Raghavan,Indian National Congress,16883
6,Malappuram,71.21,E. Ahamed,Indian Union Muslim League,194739
7,Ponnani,73.81,E. T. Mohammed Basheer,Indian Union Muslim League,25410
8,Palakkad,75.33,M B Rajesh,Communist Party of India (Marxist),105300
9,Alathur,76.35,P.K.Biju,Communist Party of India (Marxist),37312
10,Thrissur,72.19,C. N. Jayadevan,Communist Party of India,38227
11,Chalakudy,76.93,Innocent,Independent,13884
12,Ernakulam,73.58,Prof. K.V. Thomas,Indian National Congress,87047
13,Idukki,70.79,Adv.Joice George,Independent,50542
14,Kottayam,71.67,Jose K. Mani,Kerala Congress (M),120599
15,Alappuzha,78.55,K C Venugopal,Indian National Congress,19407
16,Mavelikara,70.99,Kodikunnil Suresh,Indian National Congress,32737
17,Pathanamthitta,65.81,Anto Antony,Indian National Congress,56191
18,Kollam,72.10,N.K.Premachandran,Revolutionary Socialist Party,37649
19,Attingal,68.67,Dr.A .Sampath,Communist Party of India (Marxist),69378
20,Thiruvananthapuram,68.63,Dr. Shashi Tharoor,Indian National Congress,15470
