No,Constituency,Alliance,UDF Party,UDF Candidate,UDF Votes,UDF VoteShare%
1,Kasaragod,UDF,INC,T. Siddique,378043,38.80%
1,Kasaragod,LDF,CPI(M),P. Karunakaran,384964,39.50%
1,Kasaragod,NDA,BJP,K. Surendran,172826,17.70%
1,Kasaragod,OTHERS,SDPI,Abdul Salam N. U.,9713,1.00%
2,Kannur,UDF,INC,K. Sudhakaran,421056,44.50%
2,Kannur,LDF,CPI(M),P. K. Sreemathy,427622,45.10%
2,Kannur,NDA,BJP,P. C. Mohanan,51636,5.50%
2,Kannur,OTHERS,SDPI,K. K. Abdul Jabbar,19170,2.00%
3,Vatakara,UDF,INC,Mullappally Ramachandran,416479,43.40%
3,Vatakara,LDF,CPI(M),A. N. Shamseer,413173,43.10%
3,Vatakara,NDA,BJP,V. K. Sajeevan,76313,8.00%
3,Vatakara,OTHERS,IND,P. Kumarankutty,17229,1.80%
4,Wayanad,UDF,INC,M. I. Shanavas,377035,41.20%
4,Wayanad,LDF,CPI,Sathyan Mokeri,356165,38.90%
4,Wayanad,NDA,BJP,P. R. Rasmilnath,80752,8.80%
4,Wayanad,OTHERS,NCP,P. V. Anvar,37123,4.10%
5,Kozhikode,UDF,INC,M. K. Raghavan,397615,42.20%
5,Kozhikode,LDF,CPI(M),A. Vijayaraghavan,380732,40.40%
5,Kozhikode,NDA,BJP,C. K. Padmanabhan,115760,12.30%
5,Kozhikode,OTHERS,AAP,K. P. Ratheesh,13934,1.50%
6,Malappuram,UDF,IUML,E. Ahammed,437723,51.30%
6,Malappuram,LDF,CPI(M),P. K. Sainaba,242984,28.50%
6,Malappuram,NDA,BJP,N. Sreeprakash,64705,7.60%
6,Malappuram,OTHERS,SDPI,Nasarudheen,47853,5.60%
7,Ponnani,UDF,IUML,E. T. Muhammed Basheer,378503,43.40%
7,Ponnani,LDF,IND,V. Abdurahiman,353093,40.50%
7,Ponnani,NDA,BJP,Narayanan,75212,8.60%
7,Ponnani,OTHERS,SDPI,V. T. Ikramul Haque,26640,3.10%
8,Palakkad,UDF,SJ(D),M. P. Veerendrakumar,307597,33.80%
8,Palakkad,LDF,CPI(M),M. B. Rajesh,412897,45.40%
8,Palakkad,NDA,BJP,Sobha Surendran,136587,15.00%
8,Palakkad,OTHERS,SDPI,E. S. Khaja Hussain,12504,1.40%
9,Alathur,UDF,INC,Sheeba,374496,40.40%
9,Alathur,LDF,CPI(M),P. K. Biju,411808,44.40%
9,Alathur,NDA,BJP,Shajumon Vattekkattu,87803,9.50%
9,Alathur,OTHERS,SDPI,Krishnan Eranhikkal,7820,0.80%
10,Thrissur,UDF,INC,K. P. Dhanapalan,350982,38.10%
10,Thrissur,LDF,CPI,C. N. Jayadevan,389209,42.30%
10,Thrissur,NDA,BJP,K. P. Sreesan,102681,11.20%
10,Thrissur,OTHERS,AAP,Sarah Joseph,44638,4.80%
11,Chalakudy,UDF,INC,P. C. Chacko,344556,39.00%
11,Chalakudy,LDF,IND,Innocent,358440,40.50%
11,Chalakudy,NDA,BJP,B. Gopalakrishnan,92848,10.50%
11,Chalakudy,OTHERS,AAP,K. M. Noordeen,35189,4.00%
12,Ernakulam,UDF,INC,K. V. Thomas,353841,41.60%
12,Ernakulam,LDF,IND,Christy Fernandez,266794,31.40%
12,Ernakulam,NDA,BJP,A. N. Radhakrishnan,99003,11.60%
12,Ernakulam,OTHERS,AAP,Anitha Pratap,51517,6.10%
13,Idukki,UDF,INC,Dean Kuriakose,331477,40.40%
13,Idukki,LDF,IND,Joice George,382019,46.60%
13,Idukki,NDA,BJP,Sabu Varghese,50438,6.20%
13,Idukki,OTHERS,AAP,Silvi Sunil,11215,1.40%
14,Kottayam,UDF,KC(M),Jose K Mani,424194,51.00%
14,Kottayam,LDF,JD(S),Mathew T. Thomas,303595,36.50%
14,Kottayam,NDA,KC(N),Noble Mathew,44357,5.30%
14,Kottayam,OTHERS,AAP,Anil Aikkara,26381,3.20%
15,Alappuzha,UDF,INC,K. C. Venugopal,462525,46.40%
15,Alappuzha,LDF,CPI(M),C. B. Chandrababu,443118,44.40%
15,Alappuzha,NDA,RSP(B),A. V. Thamarakshan,43051,4.30%
15,Alappuzha,OTHERS,SDPI,Thulaseedharan Pallickal,10993,1.10%
16,Mavelikkara,UDF,INC,Kodikkunnil Suresh,402432,45.30%
16,Mavelikkara,LDF,CPI,Chengara Surendran,369695,41.60%
16,Mavelikkara,NDA,BJP,P. Sudheer,79743,9.00%
16,Mavelikkara,OTHERS,SDPI,Jyothish Perumpulickal,8946,1.00%
17,Pathanamthitta,UDF,INC,Anto Antony Punnathaniyil,358842,41.30%
17,Pathanamthitta,LDF,IND,Peelipose Thomas,302651,34.80%
17,Pathanamthitta,NDA,BJP,M. T. Ramesh,138954,17.40%
17,Pathanamthitta,OTHERS,IND,Peelipose,16493,1.90%
18,Kollam,UDF,RSP,N. K. Premachandran,408528,46.50%
18,Kollam,LDF,CPI(M),M. A. Baby,370879,42.20%
18,Kollam,NDA,BJP,P. M. Velayudhan,58671,6.70%
18,Kollam,OTHERS,SDPI,A. K. Salahudeen,12812,1.50%
19,Attingal,UDF,INC,Bindu Krishna,323100,37.60%
19,Attingal,LDF,CPI(M),A. Sampath,392478,45.70%
19,Attingal,NDA,BJP,Girijakumari S,90528,11.20%
19,Attingal,OTHERS,SDPI,M. K. Manoj Kumar,11225,1.30%
20,Thiruvananthapuram,UDF,INC,Shashi Tharoor,297806,34.10%
20,Thiruvananthapuram,LDF,CPI,Bennet Abraham,248941,28.50%
20,Thiruvananthapuram,NDA,BJP,O. Rajagopal,282336,34.00%
20,Thiruvananthapuram,OTHERS,AAP,Ajit Joy,14153,1.60%
