#,Constituency,Electors,Total Votes,% Voter Turnout
1,Kasaragod,1363937,1100099,80.6%
2,Kannur,1266550,1054746,83.2%
3,Vadakara,1288926,1065932,82.6%
4,Wayanad,1359679,1092759,80.3%
5,Kozhikode,1318024,1076882,81.7%
6,Malappuram,1370544,1034799,75.5%
7,Ponnani,1356803,1017366,74.9%
8,Palakkad,1323010,1028874,77.7%
9,Alathur,1266794,1019376,80.4%
10,Thrissur,1337110,1042122,77.9%
11,Chalakudy,1230197,990433,80.5%
12,Ernakulam,1245972,967390,77.6%
13,Idukki,1204191,919559,76.3%
14,Kottayam,1206698,910648,75.4%
15,Alappuzha,1356701,1090112,80.3%
16,Mavelikkara,1308102,972360,74.3%
17,Pathanamthitta,1382741,1027378,74.3%
18,Kollam,1296720,969017,74.7%
19,Attingal,1350710,1006048,74.4%
20,Thiruvananthapuram,1371427,1011268,73.7%
