#,Constituency,Male,Female,Third Gender,Total Electors,Votes Polled,Male Votes,Female Votes,Third Gender Votes,Turnout %,Change %
1,Kasaragod,701475,750741,14,1452230,1104331,513460,590866,5,76.04,decrease 4.62
2,Kannur,646181,712181,6,1358368,1048839,485112,563724,3,77.21,decrease 6.07
3,Vatakara,681615,740246,22,1421883,1114950,507584,607362,4,78.41,decrease 4.29
4,Wayanad,721054,741354,15,1462423,1075921,520885,555033,3,73.57,decrease 6.80
5,Kozhikode,691096,738509,26,1429631,1079683,515836,563835,12,75.52,decrease 6.18
6,Malappuram,745978,733931,12,1479921,1079547,519332,560211,4,72.95,decrease 2.55
7,Ponnani,729255,741522,27,1470804,1019889,467726,552148,15,69.34,decrease 5.64
8,Palakkad,682281,715849,13,1398143,1028627,495567,533051,9,73.57,decrease 4.20
9,Alathur,648437,689047,12,1337496,981945,476187,505753,5,73.42,decrease 7.05
10,Thrissur,708317,774718,20,1483055,1081125,509052,572067,6,72.9,decrease 5.04
11,Chalakudy,634347,676161,21,1310529,942787,460351,482428,8,71.94,decrease 8.57
12,Ernakulam,640662,683370,15,1324047,904131,450659,453468,4,68.29,decrease 9.35
13,Idukki,615084,635064,9,1250157,831936,425598,406332,6,66.55,decrease 9.81
14,Kottayam,607502,647306,15,1254823,823237,418285,404946,6,65.61,decrease 9.86
15,Alappuzha,674066,726008,9,1400083,1050726,508933,541791,2,75.05,decrease 5.30
16,Mavelikkara,630307,701564,9,1331880,878360,417202,461155,3,65.95,decrease 8.38
17,Pathanamthitta,683307,746384,9,1429700,906051,442897,463148,6,63.37,decrease 10.93
18,Kollam,631625,695004,19,1326648,904047,424134,479906,7,68.15,decrease 6.58
19,Attingal,653549,743223,35,1396807,970517,449212,521292,13,69.48,decrease 5.0
20,Thiruvananthapuram,689155,741317,59,1430531,950829,467078,483722,29,66.47,decrease 7.27
