#,Constituency,Year,Alliance,Candidate Party,Candidate Name,Total Candidate Votes,Candidate Vote Share Percentage,Total Electors,Total Votes Polled,Voter TurnOut Percentage
1,Kasaragod,2024,UDF,INC,Rajmohan Unnithan,490659,44.1,1463106,1112546,76.04
1,Kasaragod,2024,LDF,CPI(M),MV Balakrishnan,390010,35.06,1463106,1112546,76.04
1,Kasaragod,2024,NDA,BJP,ML Ashwini,219558,19.73,1463106,1112546,76.04
2,Kannur,2024,UDF,INC,K. Sudhakaran,518524,48.74,1377872,1063855,77.21
2,Kannur,2024,LDF,CPI(M),MV Jayarajan,409542,38.5,1377872,1063855,77.21
2,Kannur,2024,NDA,BJP,C Raghunath,119876,11.27,1377872,1063855,77.21
3,Vatakara,2024,UDF,INC,Shafi Parambil,557528,49.65,1432148,1122947,78.41
3,Vatakara,2024,LDF,CPI(M),K. K. Shailaja,443022,39.45,1432148,1122947,78.41
3,Vatakara,2024,NDA,BJP,Prafulla Krishna,111979,9.97,1432148,1122947,78.41
4,Wayanad,2024,UDF,INC,Rahul Gandhi,647445,59.69,1474314,1084653,73.57
4,Wayanad,2024,LDF,CPI,Annie Raja,283023,26.09,1474314,1084653,73.57
4,Wayanad,2024,NDA,BJP,K Surendran,141045,13,1474314,1084653,73.57
5,Kozhikode,2024,UDF,INC,MK Raghavan,520421,47.74,1443392,1090050,75.52
5,Kozhikode,2024,LDF,CPI(M),Elamaram Kareem,374245,34.33,1443392,1090050,75.52
5,Kozhikode,2024,NDA,BJP,MT Ramesh,180666,16.57,1443392,1090050,75.52
6,Malappuram,2024,UDF,IUML,ET Mohammed Basheer,644006,59.35,1487570,1085182,72.95
6,Malappuram,2024,LDF,CPI(M),V Vaseef,343888,31.69,1487570,1085182,72.95
6,Malappuram,2024,NDA,BJP,M Abdul Salam,85361,7.87,1487570,1085182,72.95
7,Ponnani,2024,UDF,IUML,Abdussamad Samadani,562516,54.81,1480092,1026296,69.34
7,Ponnani,2024,LDF,CPI(M),K.S. Hamza,326756,31.84,1480092,1026296,69.34
7,Ponnani,2024,NDA,BJP,Niveditha Subramanian,124798,12.16,1480092,1026296,69.34
8,Palakkad,2024,UDF,INC,VK Sreekandan,421169,40.66,1407960,1035836,73.57
8,Palakkad,2024,LDF,CPI(M),A Vijayaraghavan,345886,33.39,1407960,1035836,73.57
8,Palakkad,2024,NDA,BJP,C KrishnaKumar,251778,24.31,1407960,1035836,73.57
9,Alathur (SC),2024,UDF,INC,Ramya Haridas,383336,38.63,1351496,992268,73.42
9,Alathur (SC),2024,LDF,CPI(M),K. Radhakrishnan,403447,40.66,1351496,992268,73.42
9,Alathur (SC),2024,NDA,BJP,TN Sarasu,188230,18.97,1351496,992268,73.42
10,Thrissur,2024,UDF,INC,K Muraleedharan,328124,30.08,1496401,1090876,72.9
10,Thrissur,2024,LDF,CPI,VS Sunil Kumar,337652,30.95,1496401,1090876,72.9
10,Thrissur,2024,NDA,BJP,Suresh Gopi,412338,37.8,1496401,1090876,72.9
11,Chalakudy,2024,UDF,INC,Benny Behanan,394171,41.44,1322334,951287,71.94
11,Chalakudy,2024,LDF,CPI(M),C Raveendranath,330417,34.73,1322334,951287,71.94
11,Chalakudy,2024,NDA,BDJS,KA Unnikrishnan,106400,11.18,1322334,951287,71.94
12,Ernakulam,2024,UDF,INC,Hibi Eden,482317,52.97,1333287,910502,68.29
12,Ernakulam,2024,LDF,CPI(M),KJ Shine,231932,25.47,1333287,910502,68.29
12,Ernakulam,2024,NDA,BJP,KS Radhakrishnan,144500,15.87,1333287,910502,68.29
13,Idukki,2024,UDF,INC,Dean Kuriakose,432372,51.43,1263196,840657,66.55
13,Idukki,2024,LDF,CPI(M),Joice George,298645,35.53,1263196,840657,66.55
13,Idukki,2024,NDA,BDJS,Sangeetha Vishwanathan,91323,10.86,1263196,840657,66.55
14,Kottayam,2024,UDF,KEC,Francis George,364631,43.6,1274536,836223,65.61
14,Kottayam,2024,LDF,KC(M),Thomas Chazhikadan,277365,33.17,1274536,836223,65.61
14,Kottayam,2024,NDA,BDJS,Thushar Velapally,165046,19.74,1274536,836223,65.61
15,Alappuzha,2024,UDF,INC,KC Venugopal,404560,38.21,1410664,1058703,75.05
15,Alappuzha,2024,LDF,CPI(M),AM Ariff,341047,32.21,1410664,1058703,75.05
15,Alappuzha,2024,NDA,BJP,Sobha Surendran,299648,28.3,1410664,1058703,75.05
16,Mavelikkara (SC),2024,UDF,INC,Kodikunnil Suresh,369516,41.29,1357045,894971,65.95
16,Mavelikkara (SC),2024,LDF,CPI,CA Arun Kumar,358648,40.07,1357045,894971,65.95
16,Mavelikkara (SC),2024,NDA,BDJS,Baiju Kalasala,142984,15.98,1357045,894971,65.95
17,Pathanamthitta,2024,UDF,INC,Anto Antony,367623,39.98,1451111,919569,63.37
17,Pathanamthitta,2024,LDF,CPI(M),Thomas Issac,301504,32.79,1451111,919569,63.37
17,Pathanamthitta,2024,NDA,BJP,Anil Antony,234406,25.49,1451111,919569,63.37
18,Kollam,2024,UDF,RSP(I),NK Premachandran,443628,48.45,1343640,915691,68.15
18,Kollam,2024,LDF,CPI(M),Mukesh Madhavan,293326,32.03,1343640,915691,68.15
18,Kollam,2024,NDA,BJP,G Krishnakumar,163210,17.82,1343640,915691,68.15
19,Attingal,2024,UDF,INC,Adoor Prakash,328051,33.29,1418165,985341,69.48
19,Attingal,2024,LDF,CPI(M),V Joy,327367,33.22,1418165,985341,69.48
19,Attingal,2024,NDA,BJP,V Muraleedharan,311779,31.64,1418165,985341,69.48
20,Thiruvananthapuram,2024,UDF,INC,Shashi Tharoor,358155,37.19,1448748,962983,66.47
20,Thiruvananthapuram,2024,LDF,CPI,Pannyan Raveendran,247648,25.72,1448748,962983,66.47
20,Thiruvananthapuram,2024,NDA,BJP,Rajeev Chandrasekhar,342078,35.52,1448748,962983,66.47
1,Kasaragod,2019,UDF,INC,Rajmohan Unnithan,474961,43.75,1363937,1100099,80.6
1,Kasaragod,2019,LDF,CPI(M),K. P. Satheesh Chandran,434523,40.03,1363937,1100099,80.6
1,Kasaragod,2019,NDA,BJP,Raveesh Thanthri Kuntar,176049,16.22,1363937,1100099,80.6
2,Kannur,2019,UDF,INC,K. Sudhakaran,529741,51.26,1266550,1054746,83.2
2,Kannur,2019,LDF,CPI(M),P. K. Sreemathy,435182,42.11,1266550,1054746,83.2
2,Kannur,2019,NDA,BJP,C. K. Padmanabhan,68509,6.63,1266550,1054746,83.2
3,Vatakara,2019,UDF,INC,K. Muraleedharan,526755,50.22,1288926,1065932,82.6
3,Vatakara,2019,LDF,CPI(M),P. Jayarajan,442092,42.15,1288926,1065932,82.6
3,Vatakara,2019,NDA,BJP,V. K. Sajeevan,80128,7.64,1288926,1065932,82.6
4,Wayanad,2019,UDF,INC,Rahul Gandhi,706367,66.65,1359679,1092759,80.3
4,Wayanad,2019,LDF,CPI,P. P. Suneer,274597,25.91,1359679,1092759,80.3
4,Wayanad,2019,NDA,BDJS,Thushar Vellapally,78816,7.44,1359679,1092759,80.3
5,Kozhikode,2019,UDF,INC,M. K. Raghavan,493444,46.43,1318024,1076882,81.7
5,Kozhikode,2019,LDF,CPI(M),A. Pradeepkumar,408219,38.41,1318024,1076882,81.7
5,Kozhikode,2019,NDA,BJP,K. P. Prakash Babu,161216,15.17,1318024,1076882,81.7
6,Malappuram,2019,UDF,IUML,P. K. Kunhalikutty,589873,58.87,1370544,1034799,75.5
6,Malappuram,2019,LDF,CPI(M),V. P. Sanu,329720,32.91,1370544,1034799,75.5
6,Malappuram,2019,NDA,BJP,Unnikrishnan Master,82332,8.22,1370544,1034799,75.5
7,Ponnani,2019,UDF,IUML,E. T. Mohammed Basheer,521824,54.3,1356803,1017366,74.9
7,Ponnani,2019,LDF,Independent,P. V. Anvar,328551,34.19,1356803,1017366,74.9
7,Ponnani,2019,NDA,BJP,V. T. Rema,110603,11.51,1356803,1017366,74.9
8,Palakkad,2019,UDF,INC,V.K Sreekandan,399274,39.71,1323010,1028874,77.7
8,Palakkad,2019,LDF,CPI(M),M. B. Rajesh,387637,38.55,1323010,1028874,77.7
8,Palakkad,2019,NDA,BJP,C. Krishnakumar,218556,21.74,1323010,1028874,77.7
9,Alathur (SC),2019,UDF,INC,Remya Haridas,533815,53.46,1266794,1019376,80.4
9,Alathur (SC),2019,LDF,CPI(M),P. K. Biju,374847,37.54,1266794,1019376,80.4
9,Alathur (SC),2019,NDA,BDJS,T. V. Babu,89837,9,1266794,1019376,80.4
10,Thrissur,2019,UDF,INC,T. N. Prathapan,415089,40.29,1337110,1042122,77.9
10,Thrissur,2019,LDF,CPI,Rajaji Mathew Thomas,321456,31.2,1337110,1042122,77.9
10,Thrissur,2019,NDA,BJP,Suresh Gopi,293822,28.52,1337110,1042122,77.9
11,Chalakudy,2019,UDF,INC,Benny Behanan,473444,48.87,1230197,990433,80.5
11,Chalakudy,2019,LDF,CPI(M),Innocent Vareed Thekkethala,341170,35.22,1230197,990433,80.5
