Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
A. Chellakumar,Tamil Nadu,Krishnagiri,Indian National Congress,Male,Information Not Available,64,27,0,195,0.65,Data corresponds to the period from 01-06-2019 to 10-02-2024.
A. Ganeshamurthi,Tamil Nadu,Erode,Dravida Munnetra Kazhagam,Male,Graduate,76,30,1,276,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
A. M. Arif,Kerala,Alappuzha,Communist Party of India (Marxist),Male,Professional Graduate,59,113,1,244,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
A.K.P. Chinraj,Tamil Nadu,Namakkal,Dravida Munnetra Kazhagam,Male,Information Not Available,58,12,0,263,0.72,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abdul Khaleque,Assam,Barpeta,Indian National Congress,Male,Post Graduate,53,68,8,279,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abhishek Banerjee,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Post Graduate,36,2,0,84,0.15,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abu Hasem Khan Choudhury,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,86,5,0,12,0.58,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abu Taher Khan,West Bengal,Murshidabad,All India Trinamool Congress,Male,Information Not Available,62,6,0,4,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Achyutananda Samanta,Odisha,Kandhamal,Biju Janata Dal,Male,Doctorate,60,33,0,169,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adala Prabhakara Reddy,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,Inter/ Higher Secondary,75,2,0,232,0.58,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adhikari Deepak (Dev),West Bengal,Ghatal,All India Trinamool Congress,Male,Graduate,41,2,0,106,0.12,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adhir Ranjan Chowdhury,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,67,233,5,69,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adoor Prakash,Kerala,Attingal (SC),Indian National Congress,Male,Professional Graduate,68,66,0,388,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Afzal Ansari,Uttar Pradesh,Ghazipur,Bahujan Samaj Party,Male,Post Graduate,70,3,0,0,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Agatha K. Sangma,Meghalaya,Tura,National Peoples Party,Female,Post Graduate,43,20,0,40,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Kumar Mandal,Bihar,Bhagalpur,Janata Dal (United),Male,Under Matric,53,25,0,226,0.34,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Nishad,Bihar,Muzaffarpur,Bharatiya Janata Party,Male,Graduate,57,34,0,184,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Singh Dharmendra Deol,Punjab,Gurdaspur,Bharatiya Janata Party,Male,Information Not Available,66,0,0,4,0.17,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Tamta,Uttarakhand,Almora,Bharatiya Janata Party,Male,Inter/ Higher Secondary,51,14,0,9,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Akhilesh Yadav,Uttar Pradesh,Azamgarh,Samajwadi Party,Male,Post Graduate,50,5,0,0,0.32,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Akshaibar Lal,Uttar Pradesh,Bahraich,Bharatiya Janata Party,Male,Matric,77,11,0,14,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Alok Kumar Suman,Bihar,Gopalganj,Janata Dal (United),Male,Professional Graduate,66,104,15,270,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Amar Singh,Punjab,Fatehgarh Sahib,Indian National Congress,Male,Professional Graduate,70,56,0,217,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Amol Ramsing Kolhe,Maharashtra,Shirur,Nationalist Congress Party,Male,Professional Graduate,43,29,0,621,0.61,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anant Kumar Hegde,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,55,0,0,18,0.67,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Andimuthu Raja,Tamil Nadu,Nilgiris,Dravida Munnetra Kazhagam,Male,Post Graduate,60,43,2,271,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anil Firojiya,Madhya Pradesh,Ujjain,Bharatiya Janata Party,Male,Graduate,52,27,0,274,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Annasaheb Shankar Jolle,Karnataka,Chikkodi,Bharatiya Janata Party,Male,Graduate,60,9,0,308,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anto Antony,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,66,61,2,386,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anubhav Mohanty,Odisha,Kendrapara,Biju Janata Dal,Male,Graduate,42,82,3,168,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anumula Revanth Reddy,Telangana,Malkajgiri,Indian National Congress,Male,Graduate,56,17,0,197,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
