State, Poll, Date published, Agency, Alliance, Seats, VoteShare%
ALL INDIA, Exit poll, 2 June 2024, ABP News-C Voter, NDA, '353-383',
ALL INDIA, Exit poll, 2 June 2024, ABP News-C Voter, INDIA, '152-182',
ALL INDIA, Exit poll, 2 June 2024, ABP News-C Voter, OTHERS, '4-12',
ALL INDIA, Exit poll, 2 June 2024, Dainik Bhaskar, NDA, '281-350',
ALL INDIA, Exit poll, 2 June 2024, Dainik Bhaskar, INDIA, '145-201',
ALL INDIA, Exit poll, 2 June 2024, Dainik Bhaskar, OTHERS, '33-49',
ALL INDIA, Exit poll, 2 June 2024, India Today - Axis My India, NDA, '361 - 401',47%
ALL INDIA, Exit poll, 2 June 2024, India Today - Axis My India, INDIA, '131 - 166',39%
ALL INDIA, Exit poll, 2 June 2024, India Today - Axis My India, OTHERS, '8 - 20',14%
ALL INDIA, Exit poll, 2 June 2024, India Today - Axis My India, NDA, '361-401',
ALL INDIA, Exit poll, 2 June 2024, India TV-CNX, NDA, '371-401',
ALL INDIA, Exit poll, 2 June 2024, India TV-CNX, INDIA, '109-139',
ALL INDIA, Exit poll, 2 June 2024, India TV-CNX, OTHERS, '28-38',
ALL INDIA, Exit poll, 2 June 2024, Jan Ki Baat,"	NDA","	'362 - 392'",
ALL INDIA, Exit poll, 2 June 2024, Jan Ki Baat,"	INDIA", '141 - 161',
ALL INDIA, Exit poll, 2 June 2024, Jan Ki Baat,"	OTHERS","	'10 -20'",
ALL INDIA, Exit poll, 2 June 2024, NDTV Poll of Polls, NDA,365,
ALL INDIA, Exit poll, 2 June 2024, NDTV Poll of Polls, INDIA,142,
ALL INDIA, Exit poll, 2 June 2024, NDTV Poll of Polls, OTHERS,36,
ALL INDIA, Exit poll, 2 June 2024, News Nation, NDA, '342 - 378',
ALL INDIA, Exit poll, 2 June 2024, News Nation, INDIA, '153 - 169',
ALL INDIA, Exit poll, 2 June 2024, News Nation, OTHERS, '21 - 23',
ALL INDIA, Exit poll, 2 June 2024, News24-Today's Chanakya, NDA, '400',
ALL INDIA, Exit poll, 2 June 2024, News24-Today's Chanakya, INDIA, '107',
ALL INDIA, Exit poll, 2 June 2024, News24-Today's Chanakya, OTHERS, '36',
ALL INDIA, Exit poll, 2 June 2024, Republic Bharat- Matrize, NDA, '353 - 368',
ALL INDIA, Exit poll, 2 June 2024, Republic Bharat- Matrize, INDIA, '118 - 133',
ALL INDIA, Exit poll, 2 June 2024, Republic Bharat- Matrize, OTHERS, '43 - 48',
ALL INDIA, Exit poll, 2 June 2024, Republic TV-PMARQ, NDA, '359',
ALL INDIA, Exit poll, 2 June 2024, Republic TV-PMARQ, INDIA, '154',
ALL INDIA, Exit poll, 2 June 2024, Republic TV-PMARQ, OTHERS, '30',
ALL INDIA, Exit poll, 2 June 2024, Times Now-ETG, NDA, '358',
ALL INDIA, Exit poll, 2 June 2024, Times Now-ETG, INDIA, '152',
ALL INDIA, Exit poll, 2 June 2024, Times Now-ETG, OTHERS, '33',
ALL INDIA, Exit poll, 2 June 2024, TV9 Bharatvarsh-Polstrat, NDA, '342',
ALL INDIA, Exit poll, 2 June 2024, TV9 Bharatvarsh-Polstrat, INDIA, '166',
ALL INDIA, Exit poll, 2 June 2024, TV9 Bharatvarsh-Polstrat, OTHERS, '35',
ALL INDIA, Exit poll, 2 June 2024,India News-D Dynamics, NDA, '371',
ALL INDIA, Exit poll, 2 June 2024,India News-D Dynamics, INDIA, '125',
ALL INDIA, Exit poll, 2 June 2024,India News-D Dynamics, OTHERS, '47',
ALL INDIA, Exit poll, 2 June 2024,News18 Mega Exit Polls,NDA,'355-370',
ALL INDIA, Exit poll, 2 June 2024,News18 Mega Exit Polls,INDIA,'125-140',
ALL INDIA, Exit poll, 2 June 2024,News18 Mega Exit Polls,OTHERS,'42-52',
Kerala, Exit poll,2-Jun-24, ABP News-C Voter,INDIA, 17-19,
Kerala, Exit poll,2-Jun-24, ABP News-C Voter,NDA, 1-3,
Kerala, Exit poll,2-Jun-24, India Today - Axis My India,INDIA, 18-19,
Kerala, Exit poll,2-Jun-24, India Today - Axis My India,NDA, 2-3,
Kerala, Exit poll,2-Jun-24, India TV-CNX,UDF, 16-20,
Kerala, Exit poll,2-Jun-24, India TV-CNX,NDA, 1-3,
Kerala, Exit poll,2-Jun-24, Times Now-ETG,INDIA, 18-19,
Kerala, Exit poll,2-Jun-24, Times Now-ETG,NDA,1,
Kerala, Exit poll,2-Jun-24, TV9 Bharatvarsh-Polstrat,INDIA,19,
Kerala, Exit poll,2-Jun-24, TV9 Bharatvarsh-Polstrat,NDA,1,
Kerala, Exit poll,2-Jun-24, VMR,INDIA,19,
Kerala, Exit poll,2-Jun-24, VMR,NDA,1,
ALL INDIA, Opinion poll, Apr-24, ABP News-C Voter, NDA,373,46.6
ALL INDIA, Opinion poll, Apr-24, ABP News-C Voter, INDIA,155,39.8
ALL INDIA, Opinion poll, Apr-24, ABP News-C Voter, OTHERS,15,13.6
ALL INDIA, Opinion poll, Apr-24, Times Now-ETG, NDA,384, 
ALL INDIA, Opinion poll, Apr-24, Times Now-ETG, INDIA,118, 
ALL INDIA, Opinion poll, Apr-24, Times Now-ETG, OTHERS,41, 
ALL INDIA, Opinion poll, Mar-24, News18, NDA,411, 
ALL INDIA, Opinion poll, Mar-24, News18, INDIA,105, 
ALL INDIA, Opinion poll, Mar-24, News18, OTHERS,27, 
ALL INDIA, Opinion poll, Mar-24, ABP News-C Voter, NDA,366,46
ALL INDIA, Opinion poll, Mar-24, ABP News-C Voter, INDIA,156,39
ALL INDIA, Opinion poll, Mar-24, ABP News-C Voter, OTHERS,21,15
ALL INDIA, Opinion poll, Mar-24, India TV-CNX, NDA,378, 
ALL INDIA, Opinion poll, Mar-24, India TV-CNX, INDIA,98, 
ALL INDIA, Opinion poll, Mar-24, India TV-CNX, OTHERS,67, 
ALL INDIA, Opinion poll, Mar-24, Times Now-ETG, NDA, 358-398,52
ALL INDIA, Opinion poll, Mar-24, Times Now-ETG, INDIA, 110-130,42
ALL INDIA, Opinion poll, Mar-24, Times Now-ETG, OTHERS, 40-50,6
ALL INDIA, Opinion poll, Feb-24, Zee News-Matrize, NDA,377,43.6
ALL INDIA, Opinion poll, Feb-24, Zee News-Matrize, INDIA,93,27.7
ALL INDIA, Opinion poll, Feb-24, Zee News-Matrize, OTHERS,73,24.9
ALL INDIA, Opinion poll, Feb-24, India Today-CVoter, NDA,335,45
ALL INDIA, Opinion poll, Feb-24, India Today-CVoter, INDIA,166,38
ALL INDIA, Opinion poll, Feb-24, India Today-CVoter, OTHERS,42,17
ALL INDIA, Opinion poll, Feb-24, Times Now-ETG, NDA,366,41.8
ALL INDIA, Opinion poll, Feb-24, Times Now-ETG, INDIA,104,28.6
ALL INDIA, Opinion poll, Feb-24, Times Now-ETG, OTHERS,73,29.6
ALL INDIA, Opinion poll, Dec-23, ABP News-C Voter, NDA, 295-335, 
ALL INDIA, Opinion poll, Dec-23, ABP News-C Voter, INDIA, 165-205, 
ALL INDIA, Opinion poll, Dec-23, ABP News-C Voter, OTHERS, 35-65, 
ALL INDIA, Opinion poll, Dec-23, Times Now-ETG, NDA, 319-339,44
ALL INDIA, Opinion poll, Dec-23, Times Now-ETG, INDIA, 148-168,39
ALL INDIA, Opinion poll, Dec-23, Times Now-ETG, OTHERS, 52-61,17
ALL INDIA, Opinion poll, Oct-23, India TV-CNX, NDA,315,43.4
ALL INDIA, Opinion poll, Oct-23, India TV-CNX, INDIA,172,39.1
ALL INDIA, Opinion poll, Oct-23, India TV-CNX, OTHERS,56,17.5
ALL INDIA, Opinion poll, Oct-23, Times Now-ETG, NDA, 297-317,42.6
ALL INDIA, Opinion poll, Oct-23, Times Now-ETG, INDIA, 165-185,40.2
ALL INDIA, Opinion poll, Oct-23, Times Now-ETG, OTHERS, 57-65,17.2
ALL INDIA, Opinion poll, Aug-23, Times Now-ETG, NDA, 296-326,42.6
ALL INDIA, Opinion poll, Aug-23, Times Now-ETG, INDIA, 160-190,40.2
ALL INDIA, Opinion poll, Aug-23, Times Now-ETG, OTHERS, 56-64,17.2
ALL INDIA, Opinion poll, Aug-23, India Today-CVoter, NDA,306,43
ALL INDIA, Opinion poll, Aug-23, India Today-CVoter, INDIA,193,41
ALL INDIA, Opinion poll, Aug-23, India Today-CVoter, OTHERS,54,16
ALL INDIA, Opinion poll, Jan-23, India Today-CVoter, NDA,298,43
ALL INDIA, Opinion poll, Jan-23, India Today-CVoter, INDIA,153,30
ALL INDIA, Opinion poll, Jan-23, India Today-CVoter, OTHERS,92,27
Kerala, Opinion poll, 24-Apr, ABP News - CVoter, UDF, 20, 43
Kerala, Opinion poll, 24-Apr, ABP News - CVoter, LDF, 0, 31
Kerala, Opinion poll, 24-Apr, ABP News - CVoter, NDA, 0, 21
Kerala, Opinion poll, 24-Apr, ABP News - CVoter, OTHERS, 0, 5
Kerala, Opinion poll, 24-Mar, Mathrubhumi News-P-MARQ, UDF, 17, 
Kerala, Opinion poll, 24-Mar, Mathrubhumi News-P-MARQ, LDF, 3, 
Kerala, Opinion poll, 24-Mar, Mathrubhumi News-P-MARQ, NDA, 0, 
Kerala, Opinion poll, 24-Mar, Mathrubhumi News-P-MARQ, OTHERS, 0, 
Kerala, Opinion poll, 24-Mar, News 18, UDF, 17, 
Kerala, Opinion poll, 24-Mar, News 18, LDF, 2, 
Kerala, Opinion poll, 24-Mar, News 18, NDA, 1, 
Kerala, Opinion poll, 24-Mar, News 18, OTHERS, 0, 
Kerala, Opinion poll, 24-Mar, ABP News - CVoter, UDF, 19, 44.5
Kerala, Opinion poll, 24-Mar, ABP News - CVoter, LDF, 1, 31.4
Kerala, Opinion poll, 24-Mar, ABP News - CVoter, NDA, 0, 19.8
Kerala, Opinion poll, 24-Mar, ABP News - CVoter, OTHERS, 0, 4.3
Kerala, Opinion poll, 24-Mar, India TV-CNX, UDF, 16, 
Kerala, Opinion poll, 24-Mar, India TV-CNX, LDF, 3, 
Kerala, Opinion poll, 24-Mar, India TV-CNX, NDA, 1, 
Kerala, Opinion poll, 24-Mar, India TV-CNX, OTHERS, 0, 
Kerala, Opinion poll, 24-Feb, India Today-CVoter, NDA, 0, 17
Kerala, Opinion poll, 24-Feb, India Today-CVoter, OTHERS, 0, 5
Kerala, Opinion poll, 24-Feb, India Today-CVoter, INDIA, 20, 78
Kerala, Opinion poll, 23-Dec, Times Now-ETG, UDF, 15-17, 
Kerala, Opinion poll, 23-Dec, Times Now-ETG, LDF, 3-5, 
Kerala, Opinion poll, 23-Dec, Times Now-ETG, NDA, 0-1, 
Kerala, Opinion poll, 23-Dec, Times Now-ETG, OTHERS, 0, 
Kerala, Opinion poll, 23-Oct, India TV-CNX, UDF, 18, 
Kerala, Opinion poll, 23-Oct, India TV-CNX, LDF, 2, 
Kerala, Opinion poll, 23-Oct, India TV-CNX, NDA, 0, 
Kerala, Opinion poll, 23-Oct, India TV-CNX, OTHERS, 0, 
Kerala, Opinion poll, 23-Sep, Times Now-ETG, UDF, 18-20, 
Kerala, Opinion poll, 23-Sep, Times Now-ETG, LDF, , 
Kerala, Opinion poll, 23-Sep, Times Now-ETG, NDA, 0-2, 
Kerala, Opinion poll, 23-Sep, Times Now-ETG, OTHERS, 0, 
Kerala, Opinion poll, 23-Aug, Times Now-ETG, UDF, 18-20, 
Kerala, Opinion poll, 23-Aug, Times Now-ETG, LDF, , 
Kerala, Opinion poll, 23-Aug, Times Now-ETG, NDA, 0-2, 
Kerala, Opinion poll, 23-Aug, Times Now-ETG, OTHERS, 0, 
Kerala, Opinion poll, 23-Aug, India Today-CVoter, NDA, , 14
